City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,jamestown,42.097,-79.2353,26.18600000000007,97,100,3.09,US,1678363320
67,leningradskiy,69.3833,178.4167,2.5700000000000607,90,100,2.21,RU,1678363322
68,kupang,-10.1667,123.5833,79.37600000000009,94,20,1.03,ID,1678363271
69,mar del plata,-38.0023,-57.5575,69.83600000000007,85,0,3.09,AR,1678363102
70,baculin,7.4525,126.5842,77.73800000000004,86,24,4.21,PH,1678363326
71,riyadh,24.6877,46.7219,89.74400000000007,11,64,6.92,SA,1678363218
72,nokaneng,-19.6667,22.2667,91.07600000000009,37,58,2.67,BW,1678363328
73,bow island,49.8668,-111.3684,8.888000000000044,85,100,1.03,CA,1678363330
74,aklavik,68.2191,-135.0107,4.262000000000057,95,100,3.95,CA,1678363331
75,talnakh,69.4865,88.3972,-14.745999999999945,98,100,4.75,RU,1678363333
76,bluff,-46.6,168.3333,55.814000000000036,81,52,2.62,NZ,1678363334
77,lebu,-37.6167,-73.65,58.26200000000006,91,100,1.88,CL,1678363336
78,qax,41.4225,46.9242,45.59000000000002,54,100,0.86,AZ,1678363338
79,buala,-8.145,159.5921,78.38600000000007,82,100,2.0,SB,1678363339
80,castro,-24.7911,-50.0119,69.78200000000001,86,94,1.3,BR,1678363341
81,ulagan,50.6321,87.9563,21.398000000000025,77,72,1.53,RU,1678363342
82,eureka,40.8021,-124.1637,45.57200000000004,71,100,4.92,US,1678363344
83,saint-philippe,-21.3585,55.7679,82.11200000000005,82,69,4.81,RE,1678363345
84,chokurdakh,70.6333,147.9167,-17.733999999999938,98,99,2.79,RU,1678363347
85,touros,-5.1989,-35.4608,82.99400000000007,72,52,6.91,BR,1678363348
86,fort nelson,58.8053,-122.7002,-8.013999999999982,77,0,1.03,CA,1678363215
87,hofn,64.2539,-15.2082,26.618000000000087,46,75,10.29,IS,1678363351
88,saskylakh,71.9167,114.0833,-4.665999999999954,99,100,2.23,RU,1678363352
89,constitucion,-35.3333,-72.4167,59.306000000000026,88,58,1.3,CL,1678363354
90,rovaniemi,66.5,25.7167,11.60600000000003,67,0,5.66,FI,1678363355
91,rikitea,-23.1203,-134.9692,78.62000000000006,82,53,3.86,PF,1678363357
92,alamor,-4.0181,-80.0197,61.12400000000001,97,100,1.33,EC,1678363359
93,victoria point,-27.5833,153.3,76.96400000000003,85,100,0.45,AU,1678363360
94,praia da vitoria,38.7333,-27.0667,63.75200000000008,94,75,11.27,PT,1678363362
95,bredasdorp,-34.5322,20.0403,65.78600000000007,71,95,5.11,ZA,1678363363
96,jinchang,38.4953,102.1739,53.51000000000008,16,0,4.34,CN,1678363364
97,arraial do cabo,-22.9661,-42.0278,78.76400000000004,83,20,5.66,BR,1678363366
98,bengkulu,-3.8004,102.2655,78.11600000000001,88,49,3.02,ID,1678363367
99,rockland,41.1668,-74.0496,33.65600000000003,76,44,0.45,US,1678363214
100,mahebourg,-20.4081,57.7,83.24600000000005,94,75,2.06,MU,1678363269
101,aswan,24.0934,32.907,81.69800000000002,18,0,2.06,EG,1678363372
102,vestmanna,62.1564,-7.1664,31.118000000000087,74,40,5.66,FO,1678363374
103,bilma,18.6853,12.9164,97.52000000000007,7,48,4.43,NE,1678363375
104,upington,-28.4478,21.2561,84.57800000000006,20,0,1.54,ZA,1678363376
105,cumana,10.4635,-64.1775,75.97400000000002,79,98,0.98,VE,1678363378
106,ippy,6.2679,21.2247,97.64600000000004,27,70,4.99,CF,1678363241
107,rutigliano,41.0111,17.0055,70.88000000000004,57,33,5.69,IT,1678363380
108,clyde river,70.4692,-68.5914,1.6339999999999932,78,0,5.14,CA,1678363382
109,sioux lookout,50.1001,-91.917,14.072000000000038,85,100,1.54,CA,1678363384
110,kindu,-2.95,25.95,88.358,49,98,1.26,CD,1678363386
111,half moon bay,37.4636,-122.4286,46.31000000000008,84,75,2.57,US,1678363388
112,husavik,66.0449,-17.3389,24.512000000000057,71,100,7.2,IS,1678363389
113,coolum beach,-26.5333,153.1,78.11600000000001,76,100,2.1,AU,1678363391
114,faanui,-16.4833,-151.75,82.058,72,40,3.73,PF,1678363393
115,novyy urengoy,66.0833,76.6333,-1.5159999999999556,84,100,7.35,RU,1678363395
116,broken hill,-31.95,141.4333,65.984,39,0,3.53,AU,1678363396
117,lazaro cardenas,17.9583,-102.2,69.31400000000004,81,28,1.67,MX,1678363398
118,filingue,14.3521,3.3168,101.89400000000008,16,89,4.09,NE,1678363400
119,ende,-8.8432,121.6623,79.23200000000001,89,53,0.78,ID,1678363402
120,mount vernon,40.9126,-73.8371,35.24000000000002,71,20,5.66,US,1678363403
121,nemuro,43.3236,145.575,28.25600000000003,81,49,3.61,JP,1678363405
122,tiksi,71.6872,128.8694,-28.695999999999948,100,54,0.96,RU,1678363407
123,lubao,14.9167,120.55,85.71200000000006,65,43,0.51,PH,1678363408
124,waingapu,-9.6567,120.2641,78.89000000000001,87,6,0.64,ID,1678363410
125,mwene-ditu,-7.0,23.45,81.17600000000009,61,100,2.01,CD,1678363412
126,souillac,-20.5167,57.5167,80.97800000000007,94,75,2.06,MU,1678363414
127,vernon,50.2581,-119.2691,27.932000000000016,73,85,4.12,CA,1678363415
128,kyabram,-36.3167,145.05,57.86600000000001,62,0,3.37,AU,1678363417
129,acarau,-2.8856,-40.12,80.96000000000008,78,83,5.69,BR,1678363177
130,alberton,46.8168,-64.0654,30.11000000000008,90,99,7.5,CA,1678363419
131,bathsheba,13.2167,-59.5167,79.41200000000006,73,20,2.57,BB,1678363421
132,lavrentiya,65.5833,-171.0,-8.193999999999974,92,66,1.62,RU,1678363423
133,chuy,-33.6971,-53.4616,75.84800000000003,69,4,2.79,UY,1678363424
134,lompoc,34.6391,-120.4579,42.530000000000044,92,100,2.41,US,1678363426
135,hithadhoo,-0.6,73.0833,81.98600000000008,71,91,1.91,MV,1678363429
136,hirara,24.8,125.2833,68.27000000000007,73,75,4.63,JP,1678363430
137,dunhua,43.3725,128.2425,35.42000000000006,66,42,0.93,CN,1678363433
138,hamilton,39.1834,-84.5333,33.242,82,0,0.89,US,1678363101
139,ponta do sol,32.6667,-17.1,74.71400000000003,89,20,2.54,PT,1678363436
140,general roca,-39.0333,-67.5833,67.62200000000004,20,93,5.26,AR,1678363437
141,dolores,-36.3132,-57.6792,73.5260000000001,70,3,1.79,AR,1678363438
142,kuandian,40.7286,124.7847,43.898000000000025,61,13,1.37,CN,1678363440
143,clarence town,-32.5833,151.7833,73.85,76,0,1.47,AU,1678363441
144,bereda,43.2686,-7.5406,54.57200000000004,95,92,5.34,ES,1678363443
145,yondo,7.0062,-73.9097,77.48600000000008,100,75,1.54,CO,1678363445
146,alice springs,-23.7,133.8833,71.15,37,59,3.09,AU,1678363285
147,airai,-8.9266,125.4092,60.81800000000008,94,81,0.43,TL,1678363450
148,portales,34.1862,-103.3344,47.102000000000075,93,89,3.45,US,1678363453
149,upata,8.0086,-62.3989,71.18600000000006,75,96,2.54,VE,1678363455
150,mandalgovi,45.7625,106.2708,50.702000000000076,21,61,11.75,MN,1678363457
151,matay,28.419,30.7792,78.71000000000008,18,7,1.54,EG,1678363458
152,wajima,37.4,136.9,54.75200000000008,71,100,5.05,JP,1678363460
153,thompson,55.7435,-97.8558,-20.03799999999994,76,0,1.03,CA,1678363462
154,bowen,-20.0167,148.2333,80.34800000000003,87,77,3.49,AU,1678363390
155,mount isa,-20.7333,139.5,69.566,100,75,6.17,AU,1678363282
156,two hills,53.7169,-111.7518,-5.313999999999979,92,73,3.09,CA,1678363218
157,ittiri,40.5929,8.5684,58.1,74,29,6.8,IT,1678363468
158,ilulissat,69.2167,-51.1,-8.64399999999997,90,11,1.59,GL,1678363470
159,ginir,7.1333,40.7,76.58600000000007,32,85,1.91,ET,1678363471
160,langsa,4.4683,97.9683,78.0260000000001,81,83,0.81,ID,1678363473
161,pacific grove,36.6177,-121.9166,43.682000000000016,91,0,1.54,US,1678363475
162,launceston,-41.45,147.1667,58.80200000000008,75,70,6.17,AU,1678363477
163,nanortalik,60.1432,-45.2371,24.998000000000026,67,65,3.07,GL,1678363478
164,los llanos de aridane,28.6585,-17.9182,67.74800000000002,86,20,4.12,ES,1678363481
165,tecoanapa,16.5167,-98.75,71.36600000000001,85,4,1.83,MX,1678363482
166,puerto del rosario,28.5004,-13.8627,69.54800000000003,78,20,5.66,ES,1678363484
167,vestmannaeyjar,63.4427,-20.2734,32.99000000000002,47,0,3.6,IS,1678363485
168,wanaka,-44.7,169.15,51.62000000000006,82,15,2.1,NZ,1678363487
169,netarhat,23.4833,84.2667,78.00800000000001,19,51,3.49,IN,1678363489
170,jumla,29.2747,82.1838,52.214000000000034,48,97,1.93,NP,1678363491
171,miyazu,35.5333,135.1833,54.42800000000007,85,100,3.24,JP,1678363492
172,tela,15.7833,-87.45,73.34600000000005,94,75,1.03,HN,1678363494
173,salinopolis,-0.6136,-47.3561,77.21600000000001,88,93,1.18,BR,1678363495
174,mount gambier,-37.8333,140.7667,56.94800000000002,91,59,1.62,AU,1678363498
175,cabedelo,-6.9811,-34.8339,86.66600000000001,69,100,7.41,BR,1678363499
176,ouahigouya,13.5828,-2.4216,96.99800000000002,4,99,3.83,BF,1678363290
177,kapaa,22.0752,-159.319,71.58200000000002,74,0,2.68,US,1678363502
178,ust-tsilma,65.441,52.1498,23.414000000000033,93,100,4.65,RU,1678363504
179,saint george,37.1041,-113.5841,34.39400000000008,64,0,0.0,US,1678363320
180,port-gentil,-0.7193,8.7815,87.76400000000004,70,20,5.14,GA,1678363508
181,montecristi,-1.05,-80.6667,73.22000000000006,88,100,2.06,EC,1678363510
182,henties bay,-22.116,14.2845,69.04400000000007,69,1,6.09,NA,1678363512
183,porbandar,21.6422,69.6093,85.766,37,0,7.21,IN,1678363513
